algo_name;train_time;test_time;accuracy;test_instances;tp_rate;fp_rate;precision;recall;f_measure
﻿J48;778.2;0.2;83.4026;12761;0.834;0.218;0.835;0.834;0.830
﻿J48;778.2;0.2;83.4026;12761;0.834;0.218;0.835;0.834;0.830
﻿J48;778.2;0.2;83.4026;12761;0.834;0.218;0.835;0.834;0.830
﻿J48;778.2;0.2;83.4026;12761;0.834;0.218;0.835;0.834;0.830
